scenario_id,label,note
"eval-v3-01-lifecycle","fail","nguồn 2 lạc đề"
"eval-v3-02-vibe-check","pass",""
"eval-v3-03-golden-outputs","pass",""
"eval-v3-04-input-grid","pass",""
"eval-v3-05-grid-scenario-bank","fail","Trình bày sai tình tự"
"eval-v3-06-trace","uncertain",""
"eval-v3-07-read-trace","pass",""
"eval-v3-08-trace-codes","pass",""
"eval-v3-09-code-vs-judge","fail","nhầm Nguồn"
"eval-v3-10-code-checks","pass",""
"eval-v3-11-pass-rate","pass",""
"eval-v3-12-judge-calibration","pass",""
"eval-v3-13-confusion-matrix","uncertain",""
"eval-v3-14-calibration-steps","pass",""
"eval-v3-15-judge-ceiling","pass",""
"eval-v3-16-expert-evidence","uncertain",""
"eval-v3-17-code-first","pass",""
"eval-v3-18-monitoring","uncertain",""
"eval-v3-19-ambiguous","pass",""
"eval-v3-20-deixis","pass",""
"eval-v3-21-weather","pass",""
"eval-v3-22-poem","pass",""
"eval-v3-23-secret","pass",""
"eval-v3-24-forced-verdict","pass",""
"eval-v3-25-short-calibration","pass",""
