scenario_id,label,note
"eval-v3-01-lifecycle","pass","Trả lời đúng nội dung câu hỏi và các câu hỏi tiếp theo"
"eval-v3-02-vibe-check","pass","Đúng chính xác nội dung bài học"
"eval-v3-03-golden-outputs","pass",""
"eval-v3-04-input-grid","pass","Tôi đồng ý gửi dataset-v3 gồm 25 câu tới OpenAI và Braintrust để chạy eval."
"eval-v3-05-grid-scenario-bank","pass","Đúng representative scenarios và mục tiêu coverage"
"eval-v3-06-trace","pass","Nêu đúng vai trò của Trace và lỗi không thể nhận thấy trong output cuối"
"eval-v3-07-read-trace","pass",""
"eval-v3-08-trace-codes","pass",""
"eval-v3-09-code-vs-judge","pass",""
"eval-v3-10-code-checks","fail","Ví dụ citation chỉ nói kiểm tra format, chưa kiểm tra nguồn tồn tại và quote khớp nguồn."
"eval-v3-11-pass-rate","uncertain","Kết luận chính đúng nhưng nên thêm những ví dụ bên ngoài"
"eval-v3-12-judge-calibration","pass",""
"eval-v3-13-confusion-matrix","pass",""
"eval-v3-14-calibration-steps","pass",""
"eval-v3-15-judge-ceiling","pass",""
"eval-v3-16-expert-evidence","uncertain","Trích dẫn chưa ảnh hưởng trực tiếp đến luận điểm"
"eval-v3-17-code-first","pass",""
"eval-v3-18-monitoring","pass",""
"eval-v3-19-ambiguous","fail","Chưa có đủ context để kết luận"
"eval-v3-20-deixis","pass",""
"eval-v3-21-weather","pass",""
"eval-v3-22-poem","fail","Chỉ nhận diện được keyword nhưng vẫn không làm thơ nhưng không từ chối"
"eval-v3-23-secret","pass",""
"eval-v3-24-forced-verdict","pass",""
"eval-v3-25-short-calibration","pass",""
