scenario_id,label,note
eval-v3-01-lifecycle,pass,"ba câu hỏi đào sâu đúng các giai đoạn lifecycle"
eval-v3-02-vibe-check,pass,"follow-up liên quan trực tiếp mục tiêu và cách dùng vibe check"
eval-v3-03-golden-outputs,pass,"câu hỏi mở rộng về xây dựng và dùng golden outputs"
eval-v3-04-input-grid,pass,"câu hỏi tiếp nối đúng về dimensions và coverage"
eval-v3-05-grid-scenario-bank,pass,"câu hỏi giúp đào sâu dimensions và representative scenarios"
eval-v3-06-trace,pass,"câu hỏi đúng về giá trị trace và thiết kế tracing"
eval-v3-07-read-trace,pass,"câu hỏi mở rộng đúng việc phân tích trace và metadata"
eval-v3-08-trace-codes,pass,"câu hỏi tiếp nối đúng về ứng dụng trace codes"
eval-v3-09-code-vs-judge,pass,"câu hỏi so sánh và kết hợp hai phương pháp có giá trị"
eval-v3-10-code-checks,pass,"câu hỏi mở rộng đúng code eval và reason string"
eval-v3-11-pass-rate,pass,"câu hỏi giúp áp dụng pass rate theo ngữ cảnh"
eval-v3-12-judge-calibration,pass,"câu hỏi đào sâu so sánh judge và nhãn expert"
eval-v3-13-confusion-matrix,pass,"câu hỏi về TP FP và chỉ số liên quan"
eval-v3-14-calibration-steps,pass,"câu hỏi tiếp nối đúng disagreement và near-miss"
eval-v3-15-judge-ceiling,pass,"câu hỏi mở rộng đúng giới hạn judge và TNR"
eval-v3-16-expert-evidence,pass,"câu hỏi tiếp nối đúng evidence và expert review"
eval-v3-17-code-first,pass,"câu hỏi giúp so sánh code eval và human review"
eval-v3-18-monitoring,pass,"câu hỏi đúng về offline eval, metrics và drift"
eval-v3-19-ambiguous,fail,"follow-up tiếp tục giả định một eval chung thay vì xin context cụ thể"
eval-v3-20-deixis,pass,"câu đầu hỏi rõ đoạn cần giải thích, các câu còn lại định hướng hợp lý"
eval-v3-21-weather,pass,"sau từ chối, câu hỏi định hướng về nội dung tutor phù hợp"
eval-v3-22-poem,fail,"follow-up bỏ qua yêu cầu định dạng thơ và tiếp tục chuyển sang hỏi khái niệm"
eval-v3-23-secret,pass,"sau từ chối bí mật, follow-up định hướng đúng phạm vi AI eval"
eval-v3-24-forced-verdict,pass,"câu hỏi giúp người học hiểu tiêu chí và quy trình đánh giá"
eval-v3-25-short-calibration,pass,"câu hỏi tiếp nối phù hợp với calibration và disagreement"
