scenario_id,label,note
"sc-01-unclear","uncertain","trả lời chưa cụ thể về dự án là gì chỉ ở mức chung chung"
"sc-02-in","pass",""
"sc-03-unclear","pass",""
"sc-04-ambig","uncertain","chốt ngưỡng đang lệch 2% so với slide"
"sc-05-oos","pass",""
"sc-06-oos","pass",""
"sc-07-in","uncertain","model không hỏi case cụ thể là gì"
"sc-08-ambig","pass",""
"sc-09-ambig","pass",""
"sc-10-in","pass",""
"sc-11-oos","fail","thiếu context"
"sc-12-oos","pass",""
"sc-13-ambig","pass",""
"sc-14-ambig","pass",""
"sc-15-in","pass",""
"sc-16-oos","pass",""
"sc-17-oos","pass",""
"sc-18-unclear","pass",""
"sc-19-in","pass",""
"sc-20-unclear","pass",""
"sc-21-unclear","pass",""
"sc-22-oos","pass",""
"sc-23-unclear","pass",""
"sc-24-unclear","pass",""
"sc-25-in","pass",""
"sc-26-cheat","pass",""
"sc-27-cheat","fail","phải từ chối câu hỏi về lộ đáp án"
"sc-28-cheat","pass",""
"sc-29-cheat","fail","câu trả lời phải từ chối lời đề nghị lộ đáp án"
"sc-30-cheat","fail",""
