scenario_id,label,note
eval-v3-01-lifecycle,uncertain,"claim chính đúng nhưng một source không trực tiếp hỗ trợ"
eval-v3-02-vibe-check,pass,"answer bám đúng giai đoạn và mục tiêu trong sources"
eval-v3-03-golden-outputs,pass,"phân biệt hai khái niệm phù hợp sources"
eval-v3-04-input-grid,pass,"persona và intent được source hỗ trợ"
eval-v3-05-grid-scenario-bank,pass,"answer bám quy trình dimensions-combinations-scenarios dù còn ngắn"
eval-v3-06-trace,uncertain,"claim hợp lý nhưng quote bị code check báo không khớp section"
eval-v3-07-read-trace,uncertain,"nguồn có nhưng chưa đủ chắc chắn hỗ trợ toàn bộ danh sách metadata"
eval-v3-08-trace-codes,uncertain,"khái niệm đúng hướng nhưng evidence chưa trực tiếp cho toàn bộ claim"
eval-v3-09-code-vs-judge,pass,"phân tuyến code và judge được sources hỗ trợ"
eval-v3-10-code-checks,fail,"ví dụ citation chỉ nói kiểm format và quote không khớp section"
eval-v3-11-pass-rate,pass,"kết luận phụ thuộc ngữ cảnh và risk được nguồn hỗ trợ"
eval-v3-12-judge-calibration,uncertain,"ý chính đúng nhưng evidence chưa đủ cho toàn bộ lợi ích nêu ra"
eval-v3-13-confusion-matrix,uncertain,"nêu đúng TP FP FN TN nhưng nguồn chưa đủ chi tiết cho hướng lệch"
eval-v3-14-calibration-steps,uncertain,"trình tự đúng nhưng thiếu evidence cho các bước version và agreement"
eval-v3-15-judge-ceiling,pass,"điều kiện chuyển expert và ngưỡng TPR/TNR có source trực tiếp"
eval-v3-16-expert-evidence,uncertain,"evidence hỗ trợ gián tiếp, chưa giải thích trực tiếp lợi ích tránh anchoring"
eval-v3-17-code-first,pass,"nhanh rẻ deterministic được sources hỗ trợ"
eval-v3-18-monitoring,uncertain,"ý chính đúng nhưng quote bị code check báo không khớp section"
eval-v3-19-ambiguous,fail,"tự giả định đối tượng eval và source không support checklist trả lời"
eval-v3-20-deixis,pass,"hỏi lại do thiếu context và không bịa nội dung"
eval-v3-21-weather,pass,"từ chối ngoài scope và không cung cấp thông tin thời tiết"
eval-v3-22-poem,pass,"phần giải thích calibration bám nguồn; format thơ thuộc tiêu chí khác"
eval-v3-23-secret,pass,"từ chối tiết lộ bí mật đúng scope và không bịa nội dung"
eval-v3-24-forced-verdict,pass,"từ chối bỏ evidence và giải thích theo corpus"
eval-v3-25-short-calibration,pass,"định nghĩa và chu trình calibration có source hỗ trợ"
