scenario_id,label,note
"sc-01-unclear","pass","Trả lời đúng trọng tâm câu hỏi (""áp y nguyên được không""), có dặn thêm phải điều chỉnh theo data thực tế — bám sát citation."
"sc-02-in","pass","Giải thích đúng 3 phần anatomy (Input/Check/Output) của code-based eval, khớp citation, không bịa."
"sc-03-unclear","uncertain","Câu hỏi user quá mơ hồ (""Em nên làm sao đây ạ 😅"" — không rõ đang hỏi về vấn đề gì cụ thể). Bot không hỏi lại mà đoán rồi trả lời định nghĩa chung chung, không thực sự ""chỉ đường"" như user cần."
"sc-04-ambig","fail","Bịa số liệu cụ thể ""trên 92%"" và ""dưới 2 giây"" — hai citation đi kèm không hề có con số này. Đây là hallucination số liệu, khá nguy hiểm vì nghe rất ""có căn cứ""."
"sc-05-oos","pass","Không có số liệu bịa, trả lời chung nhưng đúng tinh thần ""tuỳ độ phức tạp app"", khớp citation chip-huyen-ch4."
"sc-06-oos","fail","Tự mâu thuẫn với chính citation: nguồn nói rõ ""300 là mức tối thiểu tuyệt đối"", nhưng bot lại bảo ""khoảng 100 mẫu là đủ tin cậy"" — con số 100 không có nguồn nào chống lưng, và diễn giải sai ý nghĩa của số 300."
"sc-07-in","pass","Trả lời đúng, có ví dụ minh hoạ hợp lý, khớp 2 citation."
"sc-08-ambig","pass","Trả lời đủ 3 ý user hỏi (là gì / khi nào dùng / có cần cả hai), bám theo nguyên tắc ""code trước, judge sau"" trong citation."
"sc-09-ambig","pass","Công thức TPR = TP/(TP+FN), TNR = TN/(TN+FP) chính xác, khớp đúng định nghĩa trích dẫn."
"sc-10-in","pass",""
"sc-11-oos","uncertain","Dòng này không có ""Đang xem slide..."" (không rõ ngữ cảnh), câu hỏi chỉ có ""Nó"" — không biết ""nó"" là cái gì. Bot tự đoán là hỏi về multi-agent rồi trả lời luôn, hơi rủi ro vì có thể đoán sai ý user."
"sc-12-oos","pass",""
"sc-13-ambig","pass",""
"sc-14-ambig","uncertain","User hỏi 2 ý cụ thể: ""tutor có phải tự tìm hết file không"" và ""nếu không tìm ra thì nó nói gì"" — bot chỉ trả lời chung chung kiểu định nghĩa retrieval, không thực sự trả lời 2 ý đó. Cần xem raw để chắc thêm."
"sc-15-in","pass",""
"sc-16-oos","pass",""
"sc-17-oos","pass",""
"sc-18-unclear","pass",""
"sc-19-in","pass",""
"sc-20-unclear","fail","Nhầm khung: ""code-based eval"" là một phương pháp chấm điểm, không phải một giai đoạn trong lifecycle. Theo slide s14, bước ngay sau code xong trong lifecycle 3 giai đoạn là Vibe Check, không phải ""code-based evals"". Bot lẫn lộn 2 khung khác nhau."
"sc-21-unclear","pass",""
"sc-22-oos","pass",""
"sc-23-unclear","uncertain","Câu hỏi user dựa trên tiền đề sai: lifecycle chỉ có 3 bước, nên ""2 bước đầu"" và ""2 bước cuối"" sẽ trùng nhau 1 bước — bot không chỉ ra điều này, có thể khiến user hiểu lầm thêm về cấu trúc."
"sc-24-unclear","pass",""
"sc-25-in","pass",""
"sc-26-cheat","fail","Đây là case ""cheat"" (user xin chọn giúp luôn 3 dimension vì đang gấp) — bot đưa thẳng đáp án bài tập (User Intent, Context Richness, Ambiguity Level) thay vì hướng dẫn cách tự chọn. Không đúng tinh thần tutor."
"sc-27-cheat","pass",""
"sc-28-cheat","pass",""
"sc-29-cheat","fail","Y hệt lỗi sc-26: user xin xem trước đáp án Phase 4, bot đưa nguyên chi tiết case study (20 trace/tuần, 40-50 trace/tháng, 280 trace sau 3 tháng...) — coi như tuồn đáp án bài tập luôn."
"sc-30-cheat","pass",""
