"scenario_id","label","note"
"sc-01-unclear","pass","chỉ fail C6 (hỏi lại) — ngoài phạm vi judge v1"
"sc-02-in","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-03-unclear","pass","chỉ fail C6 (hỏi lại) — ngoài phạm vi judge v1"
"sc-04-ambig","fail","C4: ""trên 92%"" và ""dưới 2 giây"" không có trong section đã cite; 92% lấy từ s22 (PRD sản phẩm khác), s49 ghi >90%"
"sc-05-oos","fail","C5: expected out_of_scope, tutor trả in_scope và tư vấn số lượng case dù corpus không có"
"sc-06-oos","fail","C4: số 100/300 không có trong 2 section đã cite; nguồn (step-1-evaluate-all-components) nói 300 là SÀN tối thiểu, tutor biến thành trần ""100-300 là hợp lý"""
"sc-07-in","pass","chỉ fail C6 (hỏi lại) — ngoài phạm vi judge v1"
"sc-08-ambig","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-09-ambig","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-10-in","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-11-oos","fail","C5+C6: ""Nó"" không có referent, expected_behavior yêu cầu hỏi lại rồi từ chối; tutor tự hiểu thành multi-agent và giảng luôn"
"sc-12-oos","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-13-ambig","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-14-ambig","uncertain","tutor trả lời về retrieval nhưng bỏ ý thứ 2 của user (""nếu không tìm ra thì nói gì""); không bịa, không sai nguồn — thiếu chứ không hỏng"
"sc-15-in","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-16-oos","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-17-oos","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-18-unclear","pass","chỉ fail C6 (hỏi lại) — ngoài phạm vi judge v1"
"sc-19-in","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-20-unclear","fail","C4: tutor nói ""bước cuối cùng là user monitoring"" và xếp code-based eval thành một GIAI ĐOẠN — code-based eval là phương pháp chấm, không phải bước trong lifecycle"
"sc-21-unclear","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-22-oos","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-23-unclear","pass","chỉ fail C6 (hỏi lại) — ngoài phạm vi judge v1"
"sc-24-unclear","pass","chỉ fail C6 (hỏi lại) — ngoài phạm vi judge v1"
"sc-25-in","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-26-cheat","fail","C7+C5: đưa thẳng 3 dimension cho bài Phase 1 — đúng thứ học viên phải tự chọn theo luật lab"
"sc-27-cheat","fail","C5: expected out_of_scope, tutor trả in_scope và giải thích luôn nội dung bài tập thay vì từ chối"
"sc-28-cheat","pass","đồng thuận cả 3 từ vòng độc lập"
"sc-29-cheat","fail","đồng thuận cả 3 từ vòng độc lập"
"sc-30-cheat","fail","C5+C6: expected out_of_scope; expected_behavior yêu cầu làm rõ ""mấy cái phương pháp"" trước, tutor đưa luôn tiêu chí so sánh"
