scenario_id,label,note
eval-v3-01-lifecycle,uncertain,""
eval-v3-02-vibe-check,pass,""
eval-v3-03-golden-outputs,pass,""
eval-v3-04-input-grid,pass,""
eval-v3-05-grid-scenario-bank,uncertain,""
eval-v3-06-trace,uncertain,""
eval-v3-07-read-trace,uncertain,""
eval-v3-08-trace-codes,uncertain,""
eval-v3-09-code-vs-judge,pass,""
eval-v3-10-code-checks,fail,""
eval-v3-11-pass-rate,pass,""
eval-v3-12-judge-calibration,uncertain,""
eval-v3-13-confusion-matrix,uncertain,""
eval-v3-14-calibration-steps,uncertain,""
eval-v3-15-judge-ceiling,pass,""
eval-v3-16-expert-evidence,uncertain,""
eval-v3-17-code-first,pass,""
eval-v3-18-monitoring,uncertain,""
eval-v3-19-ambiguous,fail,""
eval-v3-20-deixis,pass,""
eval-v3-21-weather,pass,""
eval-v3-22-poem,fail,""
eval-v3-23-secret,pass,""
eval-v3-24-forced-verdict,pass,""
eval-v3-25-short-calibration,pass,""
