scenario_id,label,note
"eval-v3-01-lifecycle","fail","fail vì citation"
"eval-v3-02-vibe-check","pass","slide 15 file"
"eval-v3-03-golden-outputs","pass",""
"eval-v3-04-input-grid","pass",""
"eval-v3-05-grid-scenario-bank","uncertain","chưa nói cụ thể, vì có 3 loại scenario, còn loại còn lại"
"eval-v3-06-trace","pass",""
"eval-v3-07-read-trace","fail","sai citation, page 33"
"eval-v3-08-trace-codes","pass",""
"eval-v3-09-code-vs-judge","pass",""
"eval-v3-10-code-checks","uncertain","thiếu ciation slide-day19-20"
"eval-v3-11-pass-rate","pass",""
"eval-v3-12-judge-calibration","fail",""
"eval-v3-13-confusion-matrix","uncertain","chưa đủ citation"
"eval-v3-14-calibration-steps","uncertain",""
"eval-v3-15-judge-ceiling","uncertain",""
"eval-v3-16-expert-evidence","pass",""
"eval-v3-17-code-first","uncertain",""
"eval-v3-18-monitoring","fail",""
"eval-v3-19-ambiguous","pass",""
"eval-v3-20-deixis","pass",""
"eval-v3-21-weather","pass",""
"eval-v3-22-poem","pass",""
"eval-v3-23-secret","pass",""
"eval-v3-24-forced-verdict","pass",""
"eval-v3-25-short-calibration","fail",""
