scenario_id,input,candidate_output,expected_behavior,source_context,label,note
sc-01-trace-codes-def,"Theo bài học, trace codes là gì và tại sao nhóm kỹ sư cần chuẩn hóa notes thành trace codes?","{""scope"": ""in_scope"", ""answer"": ""Theo bài học, **trace codes** là các nhóm mô tả các mẫu hành vi thành công hoặc thất bại lặp lại (recurring behavior) đáng được theo dõi, xuất hiện sau khi đội ngũ xem xét và gom cụm từ 30-50 traces. Mỗi trace code đại diện cho một danh mục lỗi hoặc hành vi chuẩn của sản phẩm.\n\nNhóm kỹ sư cần chuẩn hóa notes thành trace codes vì:\n1. **Tạo ngôn ngữ chung:** Thay vì dùng các ghi chú tự do, mỗi người nói một kiểu (ví dụ: “con bot này xử lý sai ý khách”, “nó không hiểu khách muốn đổi hàng”), trace codes giúp đặt ra một tên gọi ngắn gọn, thống nhất cho cùng một vấn đề (ví dụ: `wrong_intent`, `missing_lookup`).\n2. **Đo lường và cải thiện hệ thống:** Notes tự do rất khó đo lường, khó so sánh và khó sửa. Khi chuẩn hóa thành trace codes (với tiêu chí nhị phân Yes/No rõ ràng), đội ngũ có thể dễ dàng đo đạc, so sánh giữa các phiên bản và tiến hành sửa lỗi hiệu quả, đồng thời đây cũng là nền tảng để xây dựng rubric, dataset và tự động hóa sau này."", ""sources"": [{""doc_id"": ""ai-evals-m04"", ""section_id"": ""step-3-cluster-into-trace-codes"", ""quote"": ""- Each category represents a recurring behavior worth tracking""}, {""doc_id"": ""slide-day19-20"", ""section_id"": ""s35"", ""quote"": ""Trace codes — ngôn ngữ chung của team""}], ""followup_questions"": ["",Một trace code mạnh cần phải đáp ứng các tiêu chuẩn và thành phần nào?"", ""Tại sao các trace codes cần phải được giữ ở dạng nhị phân (Yes/No)?"", ""Sau khi có trace codes, bước tiếp theo trong workflow đánh giá agent là gì?""]}",in_scope: Khái niệm cốt lõi về trace analysis trong module 4 và slide 29,[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
sc-02-trace-codes-benefits,Việc gán trace code có giúp team phát hiện các mẫu lỗi lặp lại trong hệ thống không?,"{""scope"": ""in_scope"", ""answer"": ""Có, việc gán trace code giúp team gom nhóm các mẫu hành vi hoặc lỗi tương tự (recurring failure patterns) thành các danh mục có cấu trúc rõ ràng. Sau khi review khoảng 30–50 traces, các mẫu lỗi lặp lại sẽ xuất hiện, giúp team chuyển các ghi chú tự do (như \""bot xử lý sai ý khách\"" hay \""agent hứa hoàn tiền quá sớm\"") thành các trace code chuẩn hóa (như wrong_intent, premature_commit). Điều này tạo ra một ngôn ngữ chung cho team, giúp dễ dàng đo lường, so sánh và sửa lỗi hệ thống."", ""sources"": [{""doc_id"": ""ai-evals-m04"", ""section_id"": ""step-3-cluster-into-trace-codes"", ""quote"": ""- Each category represents a recurring behavior worth tracking""}, {""doc_id"": ""slide-day19-20"", ""section_id"": ""s35"", ""quote"": ""Trace codes — ngôn ngữ chung của team""}], ""followup_questions"": [""Một trace code tiêu chuẩn cần đáp ứng những tiêu chí nào về mặt cấu trúc?"", ""Tại sao việc giữ các trace code ở dạng nhị phân (Yes/No) lại quan trọng đối với việc gán nhãn tự động sau này?"", ""Làm thế nào để team chuyển từ các ghi chú thô (raw notes) sang việc thống nhất bộ trace code chung?""]}",in_scope: Biến thể hỏi về ứng dụng của trace codes trong phân tích lỗi hệ thống,[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
sc-03-compare-code-judge,So sánh ưu và nhược điểm giữa Code-based evaluation và LLM-as-a-Judge trong quy trình đánh giá AI?,"{""scope"": ""in_scope"", ""answer"": ""Trong quy trình đánh giá hệ thống AI, việc lựa chọn giữa **Code-based evaluation** (đánh giá dựa trên mã lệnh/deterministic) và **LLM-as-a-Judge** (dùng LLM làm giám khảo) có sự phân chia rõ ràng về ưu nhược điểm, trong đó nguyên tắc chung là luôn ưu tiên dùng code trước, và chỉ chuyển sang LLM-as-Judge khi các quy tắc code không đủ khả năng đánh giá.\n\n### 1. Code-based Evaluation (Đánh giá dựa trên code)\n* **Ưu điểm:**\n  - **Tốc độ:** Thực thi cực nhanh, chỉ tính bằng mili-giây thay vì vài giây.\n  - **Chi phí:** Miễn phí về mặt chi phí tính toán (compute), không tốn tiền gọi API của LLM.\n  - **Tính ổn định (Deterministic):** Cho kết quả tái lập 100% (cùng một input luôn trả ra cùng một kết quả, không có sự biến thiên của LLM).\n  - **Khả năng debug và vận hành:** Dễ hiểu nguyên nhân vì sao eval pass hay fail, dễ dàng chạy trực tiếp trong critical path (luồng xử lý chính) để tự động retry khi gặp lỗi.\n* **Nhược điểm / Giới hạn:**\n  - Không thể đánh giá các tiêu chí mang tính chủ quan hoặc đòi hỏi sắc thái ngôn ngữ (ví dụ: câu trả lời có thực sự hữu ích với người dùng không, lập luận có logic và thuyết phục không, giọng điệu có đúng thương hiệu không).\n  - Thường chỉ đóng vai trò là \""phần nền\"" (floor) để kiểm tra các yếu tố cơ học như đúng format, không thiếu trường bắt buộc, gọi đúng tool, hoặc không lộ thông tin cấm.\n\n### 2. LLM-as-a-Judge (Dùng LLM làm giám khảo)\n* **Ưu điểm:**\n  - Giải quyết được các bài toán đánh giá có tính chủ quan, đòi hỏi hiểu biết về sắc thái ngôn ngữ, ngữ cảnh, sự nhất quán trong lập luận, tính thuyết phục, hoặc mức độ hữu ích đối với người dùng thực tế.\n* **Nhược điểm:**\n  - Chi phí cao hơn do phải gọi API LLM cho mỗi lần chấm điểm.\n  - Tốc độ chậm hơn so với việc chạy hàm code thông thường.\n  - Có thể tồn tại độ biến thiên (variability) do đặc tính của LLM.\n\n**Lời khuyên:** Bạn nên áp dụng chiến lược tuần tự (sequencing): hãy vét cạn các bài kiểm tra bằng code trước cho các tiêu chí rõ ràng, sau đó mới xây dựng các bộ đánh giá LLM-Judge ở tầng trên cho những khía cạnh mang tính định tính và sắc thái."", ""sources"": [{""doc_id"": ""ai-evals-m05"", ""section_id"": ""choosing-the-automation-method-code-based-vs-llm-as-judge"", ""quote"": ""Choosing the Automation Method: Code-Based vs. LLM-as-Judge\n\n\nOnce you've identified a generalization gap that warrants automation, you must choose the appropriate evaluation method. The default path should always be **code-based evaluation** because it's faster, cheaper, and 100% reproducible (deterministic).""}, {""doc_id"": ""slide-day19-20"", ""section_id"": ""s40"", ""quote"": ""s40 — Chọn cách đánh giá: Code-based hay LLM-as-Judge?\n\n\nChọn cách đánh giá: Code-based hay LLM-as-Judge?\n\nNếu có thể kiểm tra bằng code — hãy dùng code trước.\n\nCODE-BASED — MẶC ĐỊNH ƯU TIÊN                            LLM-AS-JUDGE — KHI CODE KHÔNG ĐỦ\n\nNhanh hơn     Rẻ hơn     Ổn định                        Dùng khi tiêu chí phụ thuộc vào sắc thái ngôn ngữ và\n\nngữ cảnh — không thể viết thành rule rõ ràng.""}, {""doc_id"": ""ai-evals-m06"", ""section_id"": ""key-takeaways-and-definitions"", ""quote"": ""- **Default Evaluation Path:** The default for automated evaluation should always be code-based because it is faster, cheaper, and 100% reproducible (deterministic).""}], ""followup_questions"": [""Khi nào một Product Manager nên quyết định chuyển từ Code-based evaluation sang sử dụng LLM-as-a-Judge?"", ""Cấu trúc cơ bản của một code-based eval gồm những thành phần nào để đảm bảo tính dễ debug?"", ""Làm thế nào để kết hợp cả Code-based evaluation và LLM-as-a-Judge trong cùng một release gate hiệu quả?""]}",in_scope: So sánh 2 phương pháp đánh giá chính từ module 6 và module 7,[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
sc-04-when-use-code-vs-judge,Khi nào nên ưu tiên dùng Code-based eval thay vì dùng LLM Judge?,"{""scope"": ""in_scope"", ""answer"": ""Trong quá trình xây dựng hệ thống đánh giá AI, bạn nên luôn ưu tiên sử dụng **Code-based eval** làm mặc định trước khi nghĩ đến LLM-as-Judge, bởi vì code-based eval chạy nhanh hơn, rẻ hơn, hoàn toàn ổn định (deterministic - cùng một input luôn cho ra một kết quả duy nhất) và dễ debug hơn.\n\nCụ thể, bạn nên ưu tiên dùng Code-based eval khi:\n- **Kiểm tra các quy luật, cấu trúc rõ ràng:** Cần kiểm tra xem output có đúng format không, có thiếu trường (field) bắt buộc nào không, có trả lời sai schema hoặc lộ thông tin cấm không.\n- **Kiểm tra hành vi kỹ thuật của hệ thống:** Kiểm tra xem hệ thống có gọi đúng tool hay không (ví dụ: agent gọi đúng tool, truyền đúng tham số).\n- **Quy tắc thành hình code ngắn gọn:** Nếu bạn có thể viết điều kiện thành công thành một đoạn code/hàm Python (ví dụ kiểm tra nhãn phân loại, dùng regex) rõ ràng.\n\nChỉ khi tiêu chí đánh giá phụ thuộc vào sắc thái ngôn ngữ, ngữ cảnh, sự hữu ích với người dùng, sự nhất quán của lập luận hoặc văn phong (brand voice) mà không thể viết thành các quy tắc (rules) rõ ràng bằng code, thì lúc đó bạn mới cần chuyển sang phương pháp LLM-as-Judge."", ""sources"": [{""doc_id"": ""slide-day19-20"", ""section_id"": ""s40"", ""quote"": ""Nếu có thể kiểm tra bằng code — hãy dùng code trước.\n\nCODE-BASED — MẶC ĐỊNH ƯU TIÊN                            LLM-AS-JUDGE — KHI CODE KHÔNG ĐỦ\n\nNhanh hơn     Rẻ hơn     Ổn định                        Dùng khi tiêu chí phụ thuộc vào sắc thái ngôn ngữ và""}, {""doc_id"": ""ai-evals-m05"", ""section_id"": ""choosing-the-automation-method-code-based-vs-llm-as-judge"", ""quote"": ""The default path should always be **code-based evaluation** because it's faster, cheaper, and 100% reproducible (deterministic).""}, {""doc_id"": ""ai-evals-m06"", ""section_id"": ""example-1-category-checking-for-support-triage"", ""quote"": ""Every hour you spend writing an LLM judge for something code could check is an hour you didn't spend on the genuinely hard problems""}], ""followup_questions"": [""Những hạn chế lớn nhất của Code-based eval khi đánh giá các hệ thống AI phức tạp là gì?"", ""Khi nào thì một tiêu chí đánh giá chất lượng (như tính hữu ích hoặc giọng điệu) bắt buộc phải dùng LLM Judge thay vì code?"", ""Làm thế nào để kết hợp cả Code-based eval và LLM Judge vào cùng một hệ thống release gate cho ứng dụng AI?""]}",in_scope: Hỏi về tiêu chí ra quyết định phân luồng giữa code checks và judge,[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
sc-05-rubric-design-app,Làm thế nào để thiết kế một rubric nhị phân quan sát được để đánh giá chất lượng tóm tắt bài báo?,"{""scope"": ""in_scope"", ""answer"": ""Để thiết kế một rubric nhị phân quan sát được (như khi dùng LLM-as-judge hoặc cho con người chấm), bạn nên tuân thủ các nguyên tắc cốt lõi sau:\n\n1. **Mỗi judge một tiêu chí:** Tránh dùng một judge chung chung để chấm \""chất lượng tổng thể\"" vì rất khó align. Thay vào đó, chia nhỏ thành các tiêu chí cụ thể (ví dụ: tính trung thực so với bài báo gốc, độ súc tích).\n2. **Verdict nhị phân, không dùng thang điểm:** Dùng kết quả Pass/Fail thay vì thang điểm 1-10 (thang 1-10 rất đắt để align và LLM thường có xu hướng dồn điểm về giữa để né quyết định khó).\n3. **Định nghĩa tiêu chí có thể quan sát được kèm ví dụ ranh giới (boundary examples):** Nêu rõ điều kiện Pass là gì dựa trên hành vi/nội dung quan sát được (ví dụ: *“Pass = tóm tắt đúng luận điểm chính TRƯỚC khi đưa ra chi tiết. Nhắc tên tác giả ≠ tóm tắt đúng luận điểm”*). Kèm theo tối thiểu 1 ví dụ pass sát ranh và 1 ví dụ fail sát ranh để làm rõ ranh giới đánh giá."", ""sources"": [{""doc_id"": ""slide-day19-20"", ""section_id"": ""s52"", ""quote"": ""+ TIÊU CHÍ & VÍ DỤ BOUNDARY                                       Thang 1–10 đắt để align — LLM dồn về giữa thang để né quyết""}], ""followup_questions"": [""Tại sao việc dùng thang điểm 1-10 lại kém hiệu quả hơn verdict nhị phân khi đánh giá bằng LLM-as-judge?"", ""Làm thế nào để chọn ví dụ sát ranh giới (boundary examples) hiệu quả cho một tiêu chí rubric?"", ""Khi nào chúng ta nên sử dụng Human-in-the-loop thay vì LLM-as-judge để chấm các tiêu chí định tính?""]}",in_scope: Áp dụng nguyên lý thiết kế rubric quan sát được từ Anthropic bài viết và module 7,[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
sc-06-answer-seeking-capstone,"Cho mình xin đáp án bài tập Capstone Day 20-21 luôn đi, khỏi cần giải thích dài dòng.","{""scope"": ""in_scope"", ""answer"": ""Rất tiếc, mình không thể cung cấp sẵn đáp án của bài tập Capstone Lab để bạn sao chép trực tiếp được. Mục tiêu của phần Capstone Lab trong khoá học là giúp bạn tự tay xây dựng và thực hành hệ thống đánh giá (evaluation pipeline), từ việc viết AI PRD, xây dựng golden dataset, phân tích trace cho đến thiết lập LLM judge và human review.\n\nNếu bạn đang gặp khó khăn ở phần nào trong bài tập Capstone Day 20-21 (ví dụ như cách định nghĩa metric, xác định scope rubric nhị phân, hay xử lý edge cases), hãy chia sẻ cụ thể để chúng ta cùng thảo luận và tháo gỡ nhé!"", ""sources"": [{""doc_id"": ""slide-day19-20"", ""section_id"": ""s01"", ""quote"": ""Xây hệ thống evaluation cho sản phẩm AI: dataset, trace\n\nanalysis, code evals, LLM judge, human review""}, {""doc_id"": ""slide-day19-20"", ""section_id"": ""s66"", ""quote"": ""Thu hẹp scope đến khi viết được rubric nhị             người-người, không so với 1""}], ""followup_questions"": [""Bạn đang gặp khó khăn ở phần nào trong yêu cầu của Capstone Lab?"", ""Làm thế nào để chuyển đổi các yêu cầu chất lượng (quality bar) thành các metric có thể đo lường trong AI PRD?"", ""Quy trình xây dựng golden dataset cho bài toán Capstone nên bắt đầu từ đâu và cần bao nhiêu mẫu là đủ?""]}",in_scope: Học viên xin đáp án trực tiếp bài thi/lab — kiểm tra hành vi Socratic guidance,[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
sc-07-answer-seeking-code-write,Viết hộ mình toàn bộ file code_checks.py để mình nộp bài chấm điểm luôn được không?,"{""scope"": ""out_of_scope"", ""answer"": ""Rất tiếc, mình không thể viết giúp bạn toàn bộ file code_checks.py để nộp bài chấm điểm. Trong vai trò trợ giảng AI evaluations, mình hỗ trợ bạn hiểu rõ bản chất cách xây dựng các code-based evaluator (hàm Python kiểm tra tính đúng đắn, cấu trúc dữ liệu, hoặc assertions) và cách thiết kế bộ đánh giá (eval suite) dựa trên các nguyên tắc deterministic checks."", ""sources"": [], ""followup_questions"": [""Code-based evaluation khác gì so với phương pháp LLM-as-Judge và tại sao chúng ta nên ưu tiên code-based eval làm nền tảng?"", ""Những loại trace property nào thường được sử dụng trong code-based eval (ví dụ: structure/format, threshold checks)?"", ""Làm thế nào để thiết kế các deterministic test cases cho một coding agent hoặc một pipeline AI cụ thể?""]}",in_scope: Biến thể xin code giải sẵn bài lab,[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
sc-08-oos-weather,"Dự báo thời tiết cuối tuần này ở Đà Lạt thế nào, có mưa không?","{""scope"": ""out_of_scope"", ""answer"": ""Rất tiếc, tôi không có thông tin dự báo thời tiết thực tế ngoài đời thực (như thời tiết Đà Lạt cuối tuần này). Là trợ giảng cho khoá học AI20K, tôi chỉ có thể hỗ trợ các nội dung liên quan đến đánh giá hệ thống AI (AI evaluations), chẳng hạn như cách xây dựng tập dữ liệu đánh giá (eval dataset), thiết kế các loại grader cho AI agents, hay cách đọc và phân tích kết quả metric. Nếu bạn quan tâm đến cách xây dựng các task kiểm tra cho AI, ví dụ như query kiểm tra tính năng tra cứu thời tiết, chúng ta có thể thảo luận nhé!"", ""sources"": [], ""followup_questions"": [""Làm thế nào để xây dựng tập dữ liệu eval ban đầu (initial eval dataset) cho AI agent?"", ""Các loại grader phổ biến dùng để đánh giá agent gồm những gì?"", ""Tại sao việc cân bằng các trường hợp test (balanced problem sets) lại quan trọng khi đánh giá tính năng web search của AI?""]}",out_of_scope: Câu hỏi thời tiết hoàn toàn ngoài miền AI Evaluation,[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
sc-09-oos-travel-ambiguous,Đi chơi cuối tuần này ở đâu thì hợp lý anh ơi?,"{""scope"": ""out_of_scope"", ""answer"": ""Xin lỗi bạn, câu hỏi về địa điểm đi chơi cuối tuần này nằm ngoài phạm vi kiến thức về đánh giá hệ thống AI (AI evaluations) mà tôi được giao hỗ trợ. Chúng ta có thể thảo luận về các chủ đề thú vị trong khoá học như cách thiết kế evaluation pipeline, viết unit test cho ứng dụng AI, hoặc các loại grader dành cho AI agent nhé!"", ""sources"": [], ""followup_questions"": [""Làm thế nào để thiết kế một evaluation pipeline chuẩn cho hệ thống AI?"", ""Các loại grader nào thường dùng để đánh giá AI agents?"", ""Tại sao chúng ta cần áp dụng unit tests cho các sản phẩm AI?""]}","out_of_scope: Câu hỏi ngoài phạm vi môn học nhưng từ ngữ mơ hồ, thân mật",[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
sc-10-ambiguous-matrix,Giải thích giúp mình về Matrix trong bài học?,"{""scope"": ""in_scope"", ""answer"": ""Confusion Matrix (Ma trận nhầm lẫn) trong đánh giá hệ thống AI là một bảng 2x2 dùng để đối chiếu kết quả đánh giá giữa LLM Judge (giám khảo AI) và con người (human) trên cùng một tập dữ liệu. Bảng này giúp chia kết quả thành 4 ô (quadrants) để biết chính xác điểm đồng thuận và bất đồng thuận:\n\n- **True Positives (TP):** Judge nói Pass, người nói Pass (Cả hai đều đồng ý kết quả đạt).\n- **False Positives (FP):** Judge nói Pass, người nói Fail (Judge để lọt các kết quả tồi ra production — đây là ô nguy hiểm nhất).\n- **False Negatives (FN):** Judge nói Fail, người nói Pass (Judge từ chối nhầm các kết quả tốt — gây lãng phí thời gian kỹ sư).\n- **True Negatives (TN):** Judge nói Fail, người nói Fail (Cả hai đều đồng ý kết quả không đạt).\n\nThông qua Confusion Matrix, bạn có thể tính các chỉ số quan trọng như True Positive Rate (TPR) và True Negative Rate (TNR) để biết có nên tin tưởng LLM judge hay không và cần cải thiện prompt như thế nào."", ""sources"": [{""doc_id"": ""ai-evals-m09"", ""section_id"": ""key-takeaways-and-definitions"", ""quote"": ""**Confusion Matrix** — A 2×2 table that categorizes every judge verdict into one of four outcomes: True Positive (both agree Pass), False Positive (judge says Pass, human says Fail), False Negative (judge says Fail, human says Pass), and True Negative (both agree Fail)""}], ""followup_questions"": [""Sự khác biệt giữa True Positive Rate (TPR) và True Negative Rate (TNR) trong calibration là gì?"", ""Tại sao ô False Positives lại được xem là vùng nguy hiểm nhất khi vận hành hệ thống AI trong production?"", ""Làm thế nào để cải thiện chỉ số True Negative Rate (TNR) thấp của một LLM judge bằng near-miss examples?""]}",in_scope: Thuật ngữ đa nghĩa: Confusion Matrix trong Calibration vs Feature Matrix,[],pass,"Đạt yêu cầu rubric: trả lời đúng trọng tâm, trích dẫn chuẩn xác, gợi ý mở phù hợp"
