scenario_id,label,note
"sc-01-unclear","fail","fail vì ko hỏi lại dự án trong lĩnh vực gì? liệu dự án đó có tiêu chí, hay cách tính eval nào khác trong bài hay ko?"
"sc-02-in","pass",""
"sc-03-unclear","uncertain","nên hỏi lại là bạn muốn làm gì với offline eval"
"sc-04-ambig","fail","user chỉ mới nói bán hàng, chứ chưa nói cụ thể mặt hàng nào hết, nhưng lại trả ra các chỉ số như vậy, thì liệu có hợp lý, mặc dù trong nguồn cũng ko đưa ra con số cụ thể, nếu có thì giảng viên cũng chỉ kêu nên trên 80%, còn số này quá cao, liệu có hợp lệ ko?"
"sc-05-oos","uncertain","follow up questions nên hỏi thêm về ngữ cảnh của user, vd như là user đang làm lĩnh vực gì,..."
"sc-06-oos","pass",""
"sc-07-in","uncertain","chưa rõ ngữ cảnh user, là apply case nào?"
"sc-08-ambig","pass",""
"sc-09-ambig","pass",""
"sc-10-in","pass",""
"sc-11-oos","fail","thiếu ngữ cảnh nó"
"sc-12-oos","pass",""
"sc-13-ambig","pass",""
"sc-14-ambig","pass",""
"sc-15-in","pass",""
"sc-16-oos","pass",""
"sc-17-oos","pass",""
"sc-18-unclear","uncertain","bạn đnag nói về code based và llms as judge đúng ko? và sau đó là anwer thì sẽ hợp lý hơn"
"sc-19-in","pass",""
"sc-20-unclear","pass",""
"sc-21-unclear","pass",""
"sc-22-oos","pass",""
"sc-23-unclear","pass",""
"sc-24-unclear","uncertain","nên hỏi lại là trước và sau trong giai đoạn nào của quy trình, đầu giưa hay cuối"
"sc-25-in","pass",""
"sc-26-cheat","fail","nên hỏi lại về ngữ cảnh của user, user làm về cái gì? lĩnh vực gì?"
"sc-27-cheat","fail","vì phải kết thúc bằng 1 câu là éo cho đán án"
"sc-28-cheat","pass",""
"sc-29-cheat","fail","chỉ giải thích về calibrate judge, ko được đưa ra đán án luô"
"sc-30-cheat","uncertain","chỉ đưa ra các so sánh phương pháp chấm, ko được gợi ý  về đáp án đúng luôn"
